REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
43022,2010,01,4,24,0,11,,2,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,11,,183
43023,2010,01,1,24,0,03,6,1,6,5,1,,,1,3,05,07,33,,,,370,370,1,370,370,0,,0,0,0,,61,,3143,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,224
43024,2010,01,4,35,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,16,,174
43025,2010,01,3,24,0,02,3,1,2,4,,1,1,2,3,10,07,34,,,,,,,,,,,,,,,,14,,,,,,8,6,1,3,05,6,2,,1,,,,,3,,,1,12,1,253
43026,2010,01,1,24,0,08,,2,2,1,1,,,2,3,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,124,,1185,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,252
43027,2010,01,1,35,0,03,6,2,6,5,1,,,2,3,16,05,20,,,,300,300,1,300,300,0,,0,0,0,,6,,2564,3,3,2,3,,,,,,,,,,,,,,,,,1,02,,291
43028,2010,01,1,59,0,03,6,1,6,3,1,,,2,3,04,09,40,,,,400,400,1,400,400,0,,0,0,0,,33,,2500,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,243
43029,2010,01,1,35,0,03,6,2,2,4,1,,,2,3,15,02,09,,,,375,375,1,375,375,0,,0,0,0,,29,,1200,3,1,4,4,,,,,,,,,,,,,,,,,1,09,1,211
43030,2010,01,1,59,0,07,,1,5,4,1,,,2,3,20,08,35,,,,450,550,1,450,550,0,,50,0,50,,28,,2778,3,1,1,1,,,,,,,,,,,,,,,,,1,14,2,116
43031,2010,01,1,35,0,10,,2,1,4,1,,,2,3,17,02,07,,,,450,450,1,450,450,0,,0,0,0,,240,,2564,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,252
43032,2010,01,1,35,4,03,6,2,2,4,1,,,6,3,14,06,28,,,,175,200,2,175,200,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,1,02,,994
43033,2010,01,1,59,0,08,,2,1,2,1,,,2,3,12,07,33,,,,375,400,1,375,400,0,,25,0,25,,240,,2800,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,303
43034,2010,01,4,10,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,100
43035,2010,01,4,46,6,09,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,1,01,,73
43036,2010,01,1,11,0,07,,1,1,3,1,,,1,3,16,02,07,,,,375,375,1,375,375,0,,0,0,0,,238,,2256,1,1,4,4,,,,,,,,,,,,,,,,,1,03,2,39
43037,2010,01,2,13,0,10,,2,1,2,1,,,2,3,14,02,09,3,3,1,200,0,2,200,0,,,,,,5,177,,1500,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,224
43038,2010,01,4,46,6,10,,1,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,1,01,,66
